word;transcription;translation;success_number;learning_date
! (exclamation mark);ˌekskləˈmeɪʃn mɑːk;восклицательный знак;1;
# (number sign);ˈnʌmbə(r) saɪn;знак решётки;3;
& (ampersand);ˈæmpəsænd;амперсанд;2;
' (apostrophe);əˈpɒstrəfi;апостроф;1;
* (asterisk);ˈæstərɪsk;знак звёздочки;4;
+= (addition assignment);əˈdɪʃn əˈsaɪnmənt;добавление с присвоением;2;
< and > (left and right angle brackets);left ənd raɪt ˈæŋɡl ˈbrækɪts;угловые скобки;4;
CLI (command line interface);kəˈmɑːnd laɪn ˈɪntəfeɪs;интерфейс командной строки;1;
CPU (central processing unit);ˈsentrəl ˈprəʊsesɪŋ ˈjuːnɪt;центральный процессор;3;
GPU (graphics processing unit);ˈɡræfɪks ˈprəʊsesɪŋ ˈjuːnɪt;графический процессор;4;
HPC (high performance computing);haɪ pəˈfɔːməns kəmˈpjuːtɪŋ;высокопроизводительные вычисления;3;
Large Hadron Collider (LHC);lɑːdʒ ˈhadrɒn kəˈlaɪdə(r);Большой адронный коллайдер;2;
MPI (message passing interface);ˈmesɪdʒ ˈpɑːsɪŋ ˈɪntəfeɪs;интерфейс передачи сообщений;2;
RAM (random-access memory);ˈrændəm ˈækses ˈmeməri;оперативная память (память с произвольным доступом);0;
TSEOS (two-structure equation of states);tuː ˈstrʌktʃə(r) ɪˈkweɪʒən əv steɪts;двухструктурное уравнение состояний;1;
_ (underscore);ˌʌndəˈskɔːr;нижнее подчёркивание;1;
a priori;ˌeɪpraɪˈɔːraɪ;априори;3;
ab initio;æb ɪˈnɪʃiəʊ;решение из первых принципов ('от начала');3;
abscissa;æbˈsɪsə;абсцисса;3;
absence;ˈæbsəns;отсутствие, недостаток, неявка;1;
absorptivity;əbˈzɔːpˈtɪvəti;поглощаемость;0;
abundant;əˈbʌndənt;богатый, обильный, изобилующий;-3;
acceleration;əkˌseləˈreɪʃən;ускорение;1;
accommodate;əˈkɒmədeɪt;вмещать, приспосабливать, согласовывать;2;
accompany;əˈkʌmpəni;сопровождать, сопутствовать, аккомпанировать;2;
accomplish;əˈkʌmplɪʃ;выполнять, совершать, достигать;-6;
account;əˈkaʊnt;счет, отчет, расчет;2;
account for;əˈkaʊnt fə(r);учитывать;0;
acknowledgment;əkˈnɒlɪdʒmənt;благодарность;4;
acquired data;əˌkwaɪəd ˈdeɪtə;полученные данные;5;2021-06-10
adjoining layer;əˈdʒɔɪnɪŋ ˈleɪə(r);прилегающий слой;3;
adjust;əˈdʒʌst;регулировать;0;
adjustable;əˈdʒʌstəbl̩;регулируемый, разводной, устанавливаемый;3;
admittedly;ədˈmɪtɪdli;по общему признанию, предположительно;-2;
adopted model;əˈdɒpt ˈmɒdl;принятая модель;4;
advance;ədˈvɑːns;продвигать;2;
advantageous;ˌædvænˈteɪdʒəs;выгодный, благоприятный, полезный;-4;
adversarial;ˌædvəˈseəriəl;противостоящий;1;
adversarial generative network (GAN);ˌædvəˈseəriəl ˈdʒenərətɪv ˈnetwɜːk;состязательная генеративная сеть;2;
adversary;ˈædvəsəri;противник, враг, соперник;2;
advisor;ədˈvaɪzər;советник, консультант;1;
affine;ɪˈfaɪn;аффинный;1;
afford;əˈfɔːd;предоставлять, давать, доставлять;-3;
aid;eɪd;помощь, поддержка, помощник;2;
albeit;ɔːlˈbiːɪt;хотя, тем не менее, даже хотя;2;
alleviate;əˈliːvieɪt;облегчать, смягчать;0;
alloy;ˈælɔɪ;сплав;1;
along the same lines;əˈlɒŋ ðə seɪm laɪnz;в том же духе;0;
along with;əˈlɒŋ wɪð;вместе с;0;
also;ˈɔːlsəʊ;также;0;
altogether;ˌɔːltəˈɡeðə(r);совсем, в целом, совершенно;-1;
ameliorate;əˈmiːljəreɪt;улучшать, улучшаться, окультуривать;2;
amino acid;əˌmiːnəʊ ˈæsɪd;аминокислота;3;
amorphous;əˈmɔːfəs;аморфный, бесформенный, некристаллический;2;
amount;əˈmaʊnt;количество, сумма, общая сумма;4;
amount to;əˈmaʊnt tə;составлять, представлять собой;-1;
ample spectrum;ˈæmpl ˈspektrəm̩;широкий спектр;1;
angle bending;ˈæŋɡl bendɪŋ;угол изгиба;0;
anisotropic;ənaɪsəˈtrɒpɪk;анизотропный;3;
anticipate;ænˈtɪsɪpeɪt;предвидеть, ожидать, предвосхищать;-2;
antimonide (_Sb);ˈæntɪmənaıd;антимонид;1;
apart from;əˈpɑːt frəm;помимо;5;2021-06-10
apparatus;ˌæpəˈreɪtəs;аппарат, аппаратура, прибор;2;
apparent shape;əˈpærənt ʃeɪp;видимая форма;4;
appealing;əˈpiːlɪŋ;привлекательный, умоляющий, подкупающий;1;
appetizer;ˈæpɪtaɪzər;закуска;4;
applicability;əˌplɪkəˈbɪləti;применимость;3;
applicable;əˈplɪkəbl̩;применимый, подходящий, пригодный;2;
appreciable rate;əˈpriːʃəbl reɪt̩;заметный показатель;0;
arbitrary;ˈɑːbɪtrəri;произвольный, случайный;-1;
area;ˈeəriə;площадь, зона, область;2;
arguably;ˈɑːɡjuəbli;спорно;4;
argue;ˈɑːɡjuː;спорить, аргументировать, доказывать;2;
array;əˈreɪ;множество, матрица, массив;3;
arsenide (_As);ˈɑːsınaıd;арсенид;0;
artificial intelligence (AI);ˌɑːtɪˈfɪʃl ɪnˈtelɪdʒəns;искусственный интеллект;5;2021-06-10
ascertain;ˌæsəˈteɪn;устанавливать, выяснять, удостоверяться;-4;
aside from;əˈsaɪd frəm;помимо;0;
aspect;ˈæspekt;аспект, сторона, вид;3;
assess;əˈses;оценивать;-5;
assignment;əˈsaɪnmənt;назначение, присвоение;5;2021-06-10
assume;əˈsjuːm;предполагать;3;
assumption;əˈsʌmpʃən;предположение, допущение, вступление;1;
asymptotic;ˌæsɪmˈtɒtɪk;асимптотический;2;
at a fine scale;ət ə faɪn skeɪl;в мелком масштабе;-1;
atomwise;ˈætəmwaɪz;атомарный;0;
attain a state;əˈteɪn ə steɪt;достичь состояния;1;
attractive force;əˈtræktɪv fɔːs;сила притяжения;2;
attribute;əˈtrɪbjuːt;приписывать, относить;1;
augment data;ɔːɡˈment ˈdeɪtə;дополнить данные;-1;
auxiliary;ɔːɡˈzɪliəri;вспомогательный, дополнительный, добавочный;-1;
avalanche-like;ˈævəlɑːnʃ laɪk;лавинообразный;-1;
awe;ɔː;трепет, благоговение, страх;5;2021-06-10
backdrop;ˈbækdrɒp;фон;2;
barium (Ba);ˈbeəriəm;барий;2;
batch;bætʃ;пакет, партия, порция;4;
bcc (body centered cubic) lattice;ˈbɒdi ˈsentərd ˈkjuːbɪk ˈlætɪs;объёмноцентрированная кубическая решётка;2;
be agnostic of something;bi æɡˈnɒstɪk əv ˈsʌmθɪŋ;быть независимым от чего-то;-1;
be of advantage;bi əv ədˈvɑːntɪdʒ;быть полезным;-3;
be present;bi ˈpreznt;присутствовать;-2;
bear;beə(r);нести;2;
beforehand;bɪˈfɔːhænd;заранее, заблаговременно;-3;
benchmark;ˈbentʃmɑːk;эталон, опорная отметка;1;
beyond;bɪˈjɒnd;за, вне, после;5;2021-06-10
bias;ˈbaɪəs;смещение, предвзятость, уклон;1;
biased;ˈbaɪəst;тенденциозный, пристрастный, необъективный;1;
bimodal;baɪˈməʊdl;бимодальный;3;
binary;ˈbaɪnəri;двоичный, бинарный, двойной;5;2021-06-10
bold;bəʊld;смелый, дерзкий, храбрый;-2;
bond;bɒnd;связь, облигация, узы;2;
bonding environment;ˈbɒndɪŋ ɪnˈvaɪrənmənt;связующая среда;0;
bound structure;baʊnd ˈstrʌktʃə(r);связанная структура;1;
boundary;ˈbaʊndəri;граница, черта;2;
bridge;brɪdʒ;мост, преодолеть, устранить;0;
broad;brɔːd;широкий, обширный, общий;5;2021-06-10
bulk;bʌlk;масса, объем, основная масса;2;
by means of;baɪ miːnz əv;посредством;5;2021-06-10
by no means;baɪ nəʊ miːnz;ни в коем случае;4;
by proceeding as follows;baɪ prəˈsiːdɪŋ əz ˈfɒləʊ;действуя следующим образом;0;
bypass;ˈbaɪpɑːs;обход, шунт, обводный канал;2;
calcium (Ca);ˈkælsiəm;кальций;2;
canonical;kəˈnɔnɪkəl;канонический;3;
capitalize;ˈkæpɪtəlaɪz;извлекать выгоду;1;
capture;ˈkæptʃə(r);захват, поимка, пленение;1;
carbide (_C);ˈkɑːbaɪd;карбид;4;
carefully crafted dataset;ˈkeəfəli krɑːftɪd ˈdeɪtəset;тщательно созданный набор данных;5;2021-06-10
carrier;ˈkæriər;носитель;5;2021-06-10
catalytic;ˌkætəˈlɪtɪk;каталитический;3;
certain;ˈsɜːtn;определённый, некоторый;2;
certainly;ˈsɜːtnli;конечно, безусловно, непременно;1;
chemical identity;ˈkemɪkl aɪˈdentəti;химическая идентичность;5;2021-06-10
chemistry;ˈkemɪstri;химия;2;
chiefly;ˈtʃiːfli;главным образом, особенно;2;
circuit;ˈsɜːkɪt;схема, цепь, контур;1;
circumvent;ˌsɜːkəmˈvent;обойти, перехитрить, обманывать;-3;
clarified model;ˈklærɪfaɪd ˈmɒdl;уточненная модель;0;
coarse-graining;kɔːs ɡreɪnɪŋ;крупнозернистый;0;
coherent;kəʊˈhɪərənt;последовательный, связный, понятный;2;
cohesive energy;kəʊˈhiːsɪv ˈenədʒi;когезионная энергия (энергия связи);4;
coincident;kəʊˈɪnsɪdənt;совпадающий, соответствующий;-1;
coined;kɔɪnt;сформулированный;1;
colloid;ˈkɒlɔɪd;коллоид;3;
commodity hardware;kəˈmɒdəti ˈhɑːdweər;стандартное оборудование;1;
commute;kəˈmjuːt;коммутировать, переключать, заменять;5;2021-06-10
compatible with the theory;kəmˈpætɪbl wɪð̩ ðə ˈθɪəri;совместимый с теорией;-1;
competitive result;kəmˈpetətɪv rɪˈzʌlt;конкурентоспособный результат;2;
complementary;ˌkɒmplɪˈmentəri;комплементарный, дополнительный, добавочный;1;
comprehensive;ˌkɒmprɪˈhensɪv;всесторонний, исчерпывающий, обширный;3;
comprise;kəmˈpraɪz;содержать, включать, охватывать;-2;
computational burden;kɒmpjʊˈteɪʃənəl ˈbɜːdən;вычислительная нагрузка;4;
computational expense;ˌkɒmpjuˈteɪʃənl ɪkˈspens;вычислительные затраты;1;
concern;kənˈsɜːn;концерн, беспокойство, забота;2;
concise representation;kənˈsaɪs ˌreprɪzenˈteɪʃən;краткое представление;3;
confidence;ˈkɒnfɪdəns;уверенность, доверие, вера;1;
confinement;kənˈfaɪnmənt;ограничение;-2;
confirm;kənˈfɜːm;подтверждать, утверждать;1;
conformal field theory;kənˈfɔːməl fiːld ˈθɪəri;конформная теория поля;3;
conformation;ˌkɒnfɔːˈmeɪʃən;форма, устройство, структура;0;
confront;kənˈfrʌnt;противостоять, столкнуться, стоять против;0;
conjecture;kənˈdʒektʃər;предположение, догадка, конъектура;1;
conjugate;ˈkɒndʒʊɡeɪt;сопрягать;-3;
consecutive operations;kənˈsekjʊtɪv ˌɒpərˈeɪʃəns;последовательные операции;0;
consequence;ˈkɒnsɪkwəns;следствие, последствие, вывод;4;
considerable;kənˈsɪdərəbl;значительный, большой, немалый;-1;
consistent;kənˈsɪstənt;последовательный, совместимый, согласующийся;2;
constitute;ˈkɒnstɪtjuːt;составлять, образовывать, учреждать;2;
constrain;kənˈstreɪn;ограничивать, сдерживать;0;
constraint;kənˈstreɪnt;ограничение, скованность;4;
consume;kənˈsjuːm;потреблять;1;
contemporary;kənˈtemprəri;современный, одновременный, одной эпохи;-1;
continuation;kənˌtɪnjuˈeɪʃən;продолжение, возобновление;0;
continuity;ˌkɒntɪˈnjuːɪti;непрерывность, целостность;2;
contrary to …;ˈkɒntrəri tə;в отличие от …;4;
contribution;ˌkɒntrɪˈbjuːʃn;вклад, взнос, содействие;5;2021-06-10
controversial;ˌkɒntrəˈvɜːʃəl;спорный, дискуссионный, любящий полемику;-3;
conventional approach;kənˈvenʃənl əˈprəʊtʃ;традиционный подход;3;
converge;kənˈvɜːdʒ;сходиться, приближаться, сводить в одну точку;1;
convergence;kənˈvɜːdʒəns;сходимость, конвергенция, сближение;-2;
convex;ˈkɒnveks;выпуклый, дугообразный, сводчатый;-2;
convey changes;kənˈveɪ tʃeɪndʒez;передать изменения;-2;
convolution;ˌkɒnvəˈluːʃən;свертка, виток, свертывание;0;
cope;kəʊp;справляться, совладать, бороться;3;
copious interactions;ˈkəʊpiəs ˌɪntəˈrækʃəns;обильные взаимодействия;0;
core;kɔː(r);ядро, суть;3;
correlation time;ˌkɒrəˈleɪʃən taɪm;время корреляции;0;
cosine;ˈkəʊsaɪn;косинус;-2;
coulomb;ˈkuːlɒm;кулон;4;
coulombic;ˈkuːlɒmɪk;кулоновский;3;
counter example;ˈkaʊntə(r) ɪɡˈzɑːmpl;контрпример;3;
counterpart;ˈkaʊntəpɑːt;копия, дубликат;1;
coupler;ˈkʌplə;сцепка, устройство связи;0;
covalent;ˌkəʊˈveɪlənt;ковалентный;3;
covalently-bonded;ˌkəʊˈveɪləntli bɒndɪd;ковалентно связанный;5;2021-06-10
crossover;ˈkrɒsəʊvər;переезд, переход, переход в другую партию;-1;
crystalline;ˈkrɪstəlaɪn;кристаллический, прозрачный, хрустальный;3;
crystallization;ˌkrɪstəlaɪˈzeɪʃn;кристаллизация;0;
cuboid;ˈkjuːbɔɪd;кубоид, кубовидный;2;
curvature;ˈkɜːvətʃər;кривизна, искривление, изгиб;2;
cutoff;ˈkʌtɒf;отсечка, прекращение, отрезанный кусок;5;2021-06-10
data acquisition;ˈdeɪtə ˌækwɪˈzɪʃən;получение данных;2;
data augmentation;ˈdeɪtəˌɔːɡmenˈteɪʃn;увеличение данных;4;
data mining;ˈdeɪtə maɪnɪŋ;сбор данных, анализ данных;2;
dataset entry;ˈdeɪtəset ˈentri;запись в наборе данных;4;
daunt;dɔːnt;обескураживать, запугивать, устрашать;-4;
decipher;dɪˈsaɪfər;расшифровывать;4;
decomposition;diːkɔmpəˈzɪʃn;разложение, распад, гниение;1;
decrease;dɪˈkriːs;уменьшить, уменьшаться, уменьшать;3;
deduce;dɪˈdjuːs;выводить, делать вывод, прослеживать происхождение;2;
degeneracy;dɪˈʤenərəsɪ;вырождение, дегенерация, дегенеративность;0;
delimit;ˌdiːˈlɪmɪt;определять границы;2;
delineate;dɪˈlɪnieɪt;очерчивать, описывать, обрисовывать;4;
demand;dɪˈmɑːnd;требовать, нуждаться, спрашивать;1;
demixing;diːmɪksɪŋ;расслоение;0;
dense sampling;dens ˈsɑːmpl̩ɪŋ;плотная выборка;1;
density functional theory (DFT);ˈdensɪti ˈfʌŋkʃənəl ˈθɪəri;теория функционала плотности;3;
deny;dɪˈnaɪ;отрицать, отказывать, отвергать;2;
depict;dɪˈpɪkt;изображать, описывать, рисовать;5;2021-06-10
deploy;dɪˈplɔɪ;развертывание;3;
derivative;dɪˈrɪvətɪv;производное, производная, дериват;2;
descriptor;dɪˈskrɪptər;дескриптор;1;
detailed;ˈdiːteɪld;подробный;1;
determinant;dɪˈtɜːmɪnənt;определитель, детерминант;0;
deterministic;dɪtɜːmɪˈnɪstɪk;детерминированный;2;
detour;ˈdiːtɔːr;объезд, обход, окольный путь;-1;
devastating;ˈdevəsteɪtɪŋ;разрушительный, опустошительный;2;
devise;dɪˈvaɪz;разрабатывать, изобретать, придумывать;-1;
diagram;ˈdaɪəɡræm;схема, диаграмма, график;1;
diamond anvil;ˈdaɪəmənd ˈænvɪl;алмазная наковальня;0;
dielectric permittivity;daɪɪˈlektrɪk pɜːmɪˈtɪvɪtɪ;диэлектрическая проницаемость;3;
differentiable;ˌdɪfəˈrenʃəbl;дифференцируемый;2;
dihedral;daɪˈhiːdrəl;двугранный;0;
dimer;ˈdaɪmə;димер;2;
diminish effectiveness;dɪˈmɪnɪʃ ɪˈfektɪvnəs;снизить эффективность;2;
diode;ˈdaɪəʊd;диод;5;2021-06-10
discard event;dɪˈskɑːd ɪˈvent;отклонить событие;0;
discernible;dɪˈsɜːnɪbl̩;различимый, заметный, видимый;-2;
discontinuity;ˌdɪsˌkɒntɪˈnjuːəti;прерывность;2;
discriminate;dɪˈskrɪmɪneɪt;различать, дискриминировать, отличать;2;
disfavour;dɪsˈfeɪvər;немилость, неодобрение;-2;
disruptive;dɪsˈrʌptɪv;подрывной, разрушительный, пробивной;1;
dissipate;ˈdɪsɪpeɪt;рассеивать, рассеять, рассеиваться;1;
distinct;dɪˈstɪŋkt;особый, отдельный, отчетливый;-3;
distinguish;dɪˈstɪŋɡwɪʃ;различать;3;
distribution;ˌdɪstrɪˈbjuːʃn;распределение;2;
diverge;ˌdaɪˈvɜːdʒ;расходиться, отклоняться, отходить от нормы;0;
divergence;ˌdaɪˈvɜːdʒəns;расхождение, дивергенция, отклонение;-3;
diverse;daɪˈvɜːs;разнообразный, разный, иной;4;
doable;ˈduːəbl̩;выполнимый;4;
dodecahedron;ˌdəʊdekəˈhiːdrən;додекаэдр, двенадцатигранник;3;
domain;dəˈmeɪn;домен, область, сфера, владения;2;
downstream;ˌdaʊnˈstriːm;вниз по течению;0;
drag force;dræɡ fɔːs;сила сопротивления;2;
dramatically;drəˈmætɪkəli;резко;0;
draw on;drɔː on;опираться;-1;
draw sample;drɔː ˈsɑːmpl;взять образец;0;
drawback;ˈdrɔːbæk;недостаток, препятствие, помеха;-2;
due to …;djuː tə;связан с …;2;
dwarf;dwɔːf;приостанавливать рост, карлик, гном;0;
dwell;dwel;жить, обитать, останавливаться;3;
dynamic structure factor;daɪˈnæmɪk ˈstrʌktʃə(r) ˈfæktə(r);динамический структурный фактор;1;
dynamics;daɪˈnæmɪks;динамика;1;
eclipse;ɪˈklɪps;затмение;5;2021-06-10
educational;ˌedʒuˈkeɪʃənl;полезный;3;
effort;ˈefət;усилие, напряжение;5;2021-06-10
either;ˈaɪðə(r);либо, или;-2;
ellipsis;ɪˈlɪpsɪs;многоточие;3;
elongated;ˈiːlɒŋɡeɪtɪd;удлиненный;2;
elusive phase;ɪˈluːsɪv feɪz;неуловимая фаза;4;
embedded data;ɪmˈbedɪd ˈdeɪtə;встроенные данные;-5;
embodiment;ɪmˈbɒdɪmənt;воплощение, олицетворение, слияние;0;
embody;ɪmˈbɒdi;воплощать, включать, олицетворять;3;
emerge;iˈmɜːdʒ;появляться, возникать, выходить;-1;
empirical risk function;ɪmˈpɪrɪkəl rɪsk ˈfʌŋkʃn;эмпирическая функция риска;0;
employ;ɪmˈplɔɪ;использовать, применять;1;
emulate a model;ˈemjʊleɪt ə ˈmɒdl;подражать модели;-1;
emulsion;ɪˈmʌlʃən;эмульсия;3;
enable;ɪˈneɪbl;разрешать, давать возможность, делать возможным;-1;
encapsulate;ɪnˈkæpsjʊleɪt;инкапсулировать, заключать в капсулу, выражать в краткой форме;4;
encompass;ɪnˈkʌmpəs;заключать в себе, окружать;-2;
encounter;ɪnˈkaʊntə(r);столкновение, схватка, стычка;-4;
